datum,artikel_id,menge
2026-06-01,NU-002,11
2026-06-01,NU-005,4
2026-06-01,NU-007,10
2026-06-01,NU-011,3
2026-06-01,NU-019,1
2026-06-01,TF-001,3
2026-06-01,TF-002,9
2026-06-01,TF-004,10
2026-06-01,TF-006,5
2026-06-01,TF-009,5
2026-06-01,TF-013,3
2026-06-01,TF-018,2
2026-06-02,FK-002,2
2026-06-02,FK-007,2
2026-06-02,FK-011,5
2026-06-02,FK-015,6
2026-06-02,FK-019,1
2026-06-02,NM-001,3
2026-06-02,NM-003,4
2026-06-02,NM-005,2
2026-06-02,NU-001,6
2026-06-02,NU-002,10
2026-06-02,NU-005,4
2026-06-02,NU-007,9
2026-06-02,NU-011,3
2026-06-02,NU-019,1
2026-06-02,TF-001,3
2026-06-02,TF-002,8
2026-06-02,TF-004,9
2026-06-02,TF-006,5
2026-06-02,TF-009,5
2026-06-02,TF-013,3
2026-06-02,TF-018,2
2026-06-03,FK-002,2
2026-06-03,FK-007,2
2026-06-03,FK-011,5
2026-06-03,FK-015,6
2026-06-03,FK-019,1
2026-06-03,NM-001,3
2026-06-03,NM-003,4
2026-06-03,NM-005,2
2026-06-03,NU-001,6
2026-06-03,NU-002,10
2026-06-03,NU-005,4
2026-06-03,NU-007,9
2026-06-03,NU-011,3
2026-06-03,NU-019,1
2026-06-03,TF-001,3
2026-06-03,TF-002,8
2026-06-03,TF-004,9
2026-06-03,TF-006,5
2026-06-03,TF-009,5
2026-06-03,TF-013,3
2026-06-03,TF-018,2
2026-06-04,FK-002,2
2026-06-04,FK-007,2
2026-06-04,FK-011,5
2026-06-04,FK-015,6
2026-06-04,FK-019,1
2026-06-04,NM-001,3
2026-06-04,NM-003,4
2026-06-04,NM-005,2
2026-06-04,NU-001,6
2026-06-04,NU-002,11
2026-06-04,NU-005,4
2026-06-04,NU-007,10
2026-06-04,NU-011,3
2026-06-04,NU-019,1
2026-06-04,TF-001,3
2026-06-04,TF-002,9
2026-06-04,TF-004,10
2026-06-04,TF-006,5
2026-06-04,TF-009,5
2026-06-04,TF-013,3
2026-06-04,TF-018,2
2026-06-05,FK-002,2
2026-06-05,FK-007,2
2026-06-05,FK-011,6
2026-06-05,FK-015,6
2026-06-05,FK-019,1
2026-06-05,NM-001,3
2026-06-05,NM-003,4
2026-06-05,NM-005,2
2026-06-05,NM-008,1
2026-06-05,NU-001,7
2026-06-05,NU-002,11
2026-06-05,NU-005,5
2026-06-05,NU-007,10
2026-06-05,NU-011,3
2026-06-05,NU-014,1
2026-06-05,NU-019,1
2026-06-05,TF-001,3
2026-06-05,TF-002,9
2026-06-05,TF-004,10
2026-06-05,TF-006,6
2026-06-05,TF-009,6
2026-06-05,TF-013,3
2026-06-05,TF-018,2
2026-06-06,FK-002,2
2026-06-06,FK-007,2
2026-06-06,FK-011,5
2026-06-06,FK-015,5
2026-06-06,FK-019,1
2026-06-06,NM-001,3
2026-06-06,NM-003,3
2026-06-06,NM-005,1
2026-06-06,NU-001,6
2026-06-06,NU-002,9
2026-06-06,NU-005,4
2026-06-06,NU-007,8
2026-06-06,NU-011,3
2026-06-06,NU-019,1
2026-06-06,TF-001,3
2026-06-06,TF-002,7
2026-06-06,TF-004,8
2026-06-06,TF-006,5
2026-06-06,TF-009,5
2026-06-06,TF-013,2
2026-06-06,TF-018,2
2026-06-07,FK-002,2
2026-06-07,FK-007,2
2026-06-07,FK-011,4
2026-06-07,FK-015,5
2026-06-07,FK-019,1
2026-06-07,NM-001,3
2026-06-07,NM-003,3
2026-06-07,NM-005,1
2026-06-07,NU-001,5
2026-06-07,NU-002,9
2026-06-07,NU-005,3
2026-06-07,NU-007,8
2026-06-07,NU-011,3
2026-06-07,NU-019,1
2026-06-07,TF-001,3
2026-06-07,TF-002,7
2026-06-07,TF-004,8
2026-06-07,TF-006,4
2026-06-07,TF-009,4
2026-06-07,TF-013,2
2026-06-07,TF-018,2
2026-06-08,FK-002,2
2026-06-08,FK-007,2
2026-06-08,FK-011,5
2026-06-08,FK-015,6
2026-06-08,FK-019,1
2026-06-08,NM-001,3
2026-06-08,NM-003,4
2026-06-08,NM-005,2
2026-06-08,NU-001,6
2026-06-08,NU-002,11
2026-06-08,NU-005,4
2026-06-08,NU-007,10
2026-06-08,NU-011,3
2026-06-08,NU-019,1
2026-06-08,TF-001,3
2026-06-08,TF-002,9
2026-06-08,TF-004,10
2026-06-08,TF-006,5
2026-06-08,TF-009,5
2026-06-08,TF-013,3
2026-06-08,TF-018,2
2026-06-09,FK-002,2
2026-06-09,FK-007,2
2026-06-09,FK-011,5
2026-06-09,FK-015,5
2026-06-09,FK-019,1
2026-06-09,NM-001,3
2026-06-09,NM-003,4
2026-06-09,NM-005,1
2026-06-09,NU-001,6
2026-06-09,NU-002,10
2026-06-09,NU-005,4
2026-06-09,NU-007,9
2026-06-09,NU-011,3
2026-06-09,NU-019,1
2026-06-09,TF-001,3
2026-06-09,TF-002,8
2026-06-09,TF-004,9
2026-06-09,TF-006,5
2026-06-09,TF-009,5
2026-06-09,TF-013,2
2026-06-09,TF-018,2
2026-06-10,FK-002,2
2026-06-10,FK-007,2
2026-06-10,FK-011,5
2026-06-10,FK-015,5
2026-06-10,FK-019,1
2026-06-10,NM-001,3
2026-06-10,NM-003,4
2026-06-10,NM-005,1
2026-06-10,NU-001,6
2026-06-10,NU-002,10
2026-06-10,NU-005,4
2026-06-10,NU-007,9
2026-06-10,NU-011,3
2026-06-10,NU-019,1
2026-06-10,TF-001,3
2026-06-10,TF-002,8
2026-06-10,TF-004,9
2026-06-10,TF-006,5
2026-06-10,TF-009,5
2026-06-10,TF-013,2
2026-06-10,TF-018,2
2026-06-11,FK-002,2
2026-06-11,FK-007,2
2026-06-11,FK-011,5
2026-06-11,FK-015,6
2026-06-11,FK-019,1
2026-06-11,NM-001,3
2026-06-11,NM-003,4
2026-06-11,NM-005,2
2026-06-11,NU-001,6
2026-06-11,NU-002,11
2026-06-11,NU-005,4
2026-06-11,NU-007,10
2026-06-11,NU-011,3
2026-06-11,NU-019,1
2026-06-11,TF-001,3
2026-06-11,TF-002,9
2026-06-11,TF-004,10
2026-06-11,TF-006,5
2026-06-11,TF-009,5
2026-06-11,TF-013,3
2026-06-11,TF-018,2
2026-06-12,FK-002,2
2026-06-12,FK-007,2
2026-06-12,FK-011,6
2026-06-12,FK-015,6
2026-06-12,FK-019,1
2026-06-12,NM-001,3
2026-06-12,NM-003,4
2026-06-12,NM-005,2
2026-06-12,NM-008,1
2026-06-12,NU-001,7
2026-06-12,NU-002,11
2026-06-12,NU-005,5
2026-06-12,NU-007,10
2026-06-12,NU-011,3
2026-06-12,NU-014,1
2026-06-12,NU-019,1
2026-06-12,TF-001,3
2026-06-12,TF-002,9
2026-06-12,TF-004,10
2026-06-12,TF-006,6
2026-06-12,TF-009,6
2026-06-12,TF-013,3
2026-06-12,TF-018,2
2026-06-13,FK-002,2
2026-06-13,FK-007,2
2026-06-13,FK-011,5
2026-06-13,FK-015,5
2026-06-13,FK-019,1
2026-06-13,NM-001,3
2026-06-13,NM-003,3
2026-06-13,NM-005,1
2026-06-13,NU-001,6
2026-06-13,NU-002,9
2026-06-13,NU-005,4
2026-06-13,NU-007,8
2026-06-13,NU-011,3
2026-06-13,NU-019,1
2026-06-13,TF-001,3
2026-06-13,TF-002,7
2026-06-13,TF-004,8
2026-06-13,TF-006,5
2026-06-13,TF-009,5
2026-06-13,TF-013,2
2026-06-13,TF-018,2
2026-06-14,FK-002,2
2026-06-14,FK-007,2
2026-06-14,FK-011,4
2026-06-14,FK-015,5
2026-06-14,FK-019,1
2026-06-14,NM-001,3
2026-06-14,NM-003,3
2026-06-14,NM-005,1
2026-06-14,NU-001,5
2026-06-14,NU-002,9
2026-06-14,NU-005,3
2026-06-14,NU-007,8
2026-06-14,NU-011,3
2026-06-14,NU-019,1
2026-06-14,TF-001,3
2026-06-14,TF-002,7
2026-06-14,TF-004,8
2026-06-14,TF-006,4
2026-06-14,TF-009,4
2026-06-14,TF-013,2
2026-06-14,TF-018,2
2026-06-15,FK-002,2
2026-06-15,FK-007,2
2026-06-15,FK-011,5
2026-06-15,FK-015,6
2026-06-15,FK-019,1
2026-06-15,NM-001,3
2026-06-15,NM-003,4
2026-06-15,NM-005,2
2026-06-15,NU-001,6
2026-06-15,NU-002,11
2026-06-15,NU-005,4
2026-06-15,NU-007,10
2026-06-15,NU-011,3
2026-06-15,NU-019,1
2026-06-15,TF-001,3
2026-06-15,TF-002,9
2026-06-15,TF-004,10
2026-06-15,TF-006,5
2026-06-15,TF-009,5
2026-06-15,TF-013,3
2026-06-15,TF-018,2
2026-06-16,FK-002,2
2026-06-16,FK-007,2
2026-06-16,FK-011,5
2026-06-16,FK-015,5
2026-06-16,FK-019,1
2026-06-16,NM-001,3
2026-06-16,NM-003,4
2026-06-16,NM-005,1
2026-06-16,NU-001,6
2026-06-16,NU-002,10
2026-06-16,NU-005,4
2026-06-16,NU-007,9
2026-06-16,NU-011,3
2026-06-16,NU-019,1
2026-06-16,TF-001,3
2026-06-16,TF-002,8
2026-06-16,TF-004,9
2026-06-16,TF-006,5
2026-06-16,TF-009,5
2026-06-16,TF-013,2
2026-06-16,TF-018,2
2026-06-17,FK-002,2
2026-06-17,FK-007,2
2026-06-17,FK-011,5
2026-06-17,FK-015,5
2026-06-17,FK-019,1
2026-06-17,NM-001,3
2026-06-17,NM-003,4
2026-06-17,NM-005,1
2026-06-17,NU-001,6
2026-06-17,NU-002,10
2026-06-17,NU-005,4
2026-06-17,NU-007,9
2026-06-17,NU-011,3
2026-06-17,NU-019,1
2026-06-17,TF-001,3
2026-06-17,TF-002,8
2026-06-17,TF-004,9
2026-06-17,TF-006,5
2026-06-17,TF-009,5
2026-06-17,TF-013,2
2026-06-17,TF-018,2
2026-06-18,FK-002,2
2026-06-18,FK-007,2
2026-06-18,FK-011,5
2026-06-18,FK-015,6
2026-06-18,FK-019,1
2026-06-18,NM-001,3
2026-06-18,NM-003,4
2026-06-18,NM-005,2
2026-06-18,NU-001,6
2026-06-18,NU-002,11
2026-06-18,NU-005,4
2026-06-18,NU-007,10
2026-06-18,NU-011,3
2026-06-18,NU-019,1
2026-06-18,TF-001,3
2026-06-18,TF-002,9
2026-06-18,TF-004,10
2026-06-18,TF-006,5
2026-06-18,TF-009,5
2026-06-18,TF-013,3
2026-06-18,TF-018,2
2026-06-19,FK-002,2
2026-06-19,FK-007,2
2026-06-19,FK-011,6
2026-06-19,FK-015,6
2026-06-19,FK-019,1
2026-06-19,NM-001,3
2026-06-19,NM-003,4
2026-06-19,NM-005,2
2026-06-19,NM-008,1
2026-06-19,NU-001,7
2026-06-19,NU-002,11
2026-06-19,NU-005,5
2026-06-19,NU-007,10
2026-06-19,NU-011,3
2026-06-19,NU-014,1
2026-06-19,NU-019,1
2026-06-19,TF-001,3
2026-06-19,TF-002,9
2026-06-19,TF-004,10
2026-06-19,TF-006,6
2026-06-19,TF-009,6
2026-06-19,TF-013,3
2026-06-19,TF-018,2
2026-06-20,FK-002,2
2026-06-20,FK-007,2
2026-06-20,FK-011,5
2026-06-20,FK-015,5
2026-06-20,FK-019,1
2026-06-20,NM-001,3
2026-06-20,NM-003,3
2026-06-20,NM-005,1
2026-06-20,NU-001,6
2026-06-20,NU-002,9
2026-06-20,NU-005,4
2026-06-20,NU-007,8
2026-06-20,NU-011,3
2026-06-20,NU-019,1
2026-06-20,TF-001,3
2026-06-20,TF-002,7
2026-06-20,TF-004,8
2026-06-20,TF-006,5
2026-06-20,TF-009,5
2026-06-20,TF-013,2
2026-06-20,TF-018,2
2026-06-21,FK-002,2
2026-06-21,FK-007,2
2026-06-21,FK-011,4
2026-06-21,FK-015,5
2026-06-21,FK-019,1
2026-06-21,NM-001,3
2026-06-21,NM-003,3
2026-06-21,NM-005,1
2026-06-21,NU-001,5
2026-06-21,NU-002,9
2026-06-21,NU-005,3
2026-06-21,NU-007,8
2026-06-21,NU-011,3
2026-06-21,NU-019,1
2026-06-21,TF-001,3
2026-06-21,TF-002,7
2026-06-21,TF-004,8
2026-06-21,TF-006,4
2026-06-21,TF-009,4
2026-06-21,TF-013,2
2026-06-21,TF-018,2
2026-06-22,FK-002,2
2026-06-22,FK-007,2
2026-06-22,FK-011,5
2026-06-22,FK-015,6
2026-06-22,FK-019,1
2026-06-22,NM-001,3
2026-06-22,NM-003,4
2026-06-22,NM-005,2
2026-06-22,NU-001,6
2026-06-22,NU-002,10
2026-06-22,NU-005,4
2026-06-22,NU-007,9
2026-06-22,NU-011,3
2026-06-22,NU-019,1
2026-06-22,TF-001,3
2026-06-22,TF-002,8
2026-06-22,TF-004,9
2026-06-22,TF-006,5
2026-06-22,TF-009,5
2026-06-22,TF-013,3
2026-06-22,TF-018,2
2026-06-23,FK-002,2
2026-06-23,FK-007,2
2026-06-23,FK-011,5
2026-06-23,FK-015,5
2026-06-23,FK-019,1
2026-06-23,NM-001,3
2026-06-23,NM-003,4
2026-06-23,NM-005,1
2026-06-23,NU-001,6
2026-06-23,NU-002,10
2026-06-23,NU-005,4
2026-06-23,NU-007,9
2026-06-23,NU-011,3
2026-06-23,NU-019,1
2026-06-23,TF-001,3
2026-06-23,TF-002,8
2026-06-23,TF-004,9
2026-06-23,TF-006,5
2026-06-23,TF-009,5
2026-06-23,TF-013,2
2026-06-23,TF-018,2
2026-06-24,FK-002,2
2026-06-24,FK-007,2
2026-06-24,FK-011,5
2026-06-24,FK-015,5
2026-06-24,FK-019,1
2026-06-24,NM-001,3
2026-06-24,NM-003,4
2026-06-24,NM-005,1
2026-06-24,NU-001,6
2026-06-24,NU-002,10
2026-06-24,NU-005,4
2026-06-24,NU-007,9
2026-06-24,NU-011,3
2026-06-24,NU-019,1
2026-06-24,TF-001,3
2026-06-24,TF-002,8
2026-06-24,TF-004,9
2026-06-24,TF-006,5
2026-06-24,TF-009,5
2026-06-24,TF-013,2
2026-06-24,TF-018,2
2026-06-25,FK-002,2
2026-06-25,FK-007,2
2026-06-25,FK-011,5
2026-06-25,FK-015,6
2026-06-25,FK-019,1
2026-06-25,NM-001,3
2026-06-25,NM-003,4
2026-06-25,NM-005,2
2026-06-25,NU-001,6
2026-06-25,NU-002,10
2026-06-25,NU-005,4
2026-06-25,NU-007,9
2026-06-25,NU-011,3
2026-06-25,NU-019,1
2026-06-25,TF-001,3
2026-06-25,TF-002,8
2026-06-25,TF-004,9
2026-06-25,TF-006,5
2026-06-25,TF-009,5
2026-06-25,TF-013,3
2026-06-25,TF-018,2
2026-06-26,FK-002,2
2026-06-26,FK-007,2
2026-06-26,FK-011,6
2026-06-26,FK-015,6
2026-06-26,FK-019,1
2026-06-26,NM-001,3
2026-06-26,NM-003,4
2026-06-26,NM-005,2
2026-06-26,NM-008,1
2026-06-26,NU-001,7
2026-06-26,NU-002,11
2026-06-26,NU-005,5
2026-06-26,NU-007,10
2026-06-26,NU-011,3
2026-06-26,NU-014,1
2026-06-26,NU-019,1
2026-06-26,TF-001,3
2026-06-26,TF-002,9
2026-06-26,TF-004,10
2026-06-26,TF-006,6
2026-06-26,TF-009,6
2026-06-26,TF-013,3
2026-06-26,TF-018,2
2026-06-27,FK-002,2
2026-06-27,FK-007,2
2026-06-27,FK-011,5
2026-06-27,FK-015,5
2026-06-27,FK-019,1
2026-06-27,NM-001,3
2026-06-27,NM-003,3
2026-06-27,NM-005,1
2026-06-27,NU-001,6
2026-06-27,NU-002,9
2026-06-27,NU-005,4
2026-06-27,NU-007,8
2026-06-27,NU-011,3
2026-06-27,NU-019,1
2026-06-27,TF-001,3
2026-06-27,TF-002,7
2026-06-27,TF-004,8
2026-06-27,TF-006,5
2026-06-27,TF-009,5
2026-06-27,TF-013,2
2026-06-27,TF-018,2
2026-06-28,FK-002,2
2026-06-28,FK-007,2
2026-06-28,FK-011,4
2026-06-28,FK-015,5
2026-06-28,FK-019,1
2026-06-28,NM-001,3
2026-06-28,NM-003,3
2026-06-28,NM-005,1
2026-06-28,NU-001,5
2026-06-28,NU-002,9
2026-06-28,NU-005,3
2026-06-28,NU-007,8
2026-06-28,NU-011,3
2026-06-28,NU-019,1
2026-06-28,TF-001,3
2026-06-28,TF-002,7
2026-06-28,TF-004,8
2026-06-28,TF-006,4
2026-06-28,TF-009,4
2026-06-28,TF-013,2
2026-06-28,TF-018,2
2026-06-29,FK-002,2
2026-06-29,FK-007,2
2026-06-29,FK-011,5
2026-06-29,FK-015,6
2026-06-29,FK-019,1
2026-06-29,NM-001,3
2026-06-29,NM-003,4
2026-06-29,NM-005,2
2026-06-29,NU-001,6
2026-06-29,NU-002,10
2026-06-29,NU-005,4
2026-06-29,NU-007,9
2026-06-29,NU-011,3
2026-06-29,NU-019,1
2026-06-29,TF-001,3
2026-06-29,TF-002,8
2026-06-29,TF-004,9
2026-06-29,TF-006,5
2026-06-29,TF-009,5
2026-06-29,TF-013,3
2026-06-29,TF-018,2
2026-06-30,FK-002,2
2026-06-30,FK-007,2
2026-06-30,FK-011,5
2026-06-30,FK-015,5
2026-06-30,FK-019,1
2026-06-30,NM-001,3
2026-06-30,NM-003,3
2026-06-30,NM-005,1
2026-06-30,NU-001,6
2026-06-30,NU-002,10
2026-06-30,NU-005,4
2026-06-30,NU-007,9
2026-06-30,NU-011,3
2026-06-30,NU-019,1
2026-06-30,TF-001,3
2026-06-30,TF-002,8
2026-06-30,TF-004,9
2026-06-30,TF-006,5
2026-06-30,TF-009,5
2026-06-30,TF-013,2
2026-06-30,TF-018,2
2026-07-01,FK-002,2
2026-07-01,FK-007,2
2026-07-01,FK-011,5
2026-07-01,FK-015,5
2026-07-01,FK-019,1
2026-07-01,NM-001,3
2026-07-01,NM-003,3
2026-07-01,NM-005,1
2026-07-01,NU-001,6
2026-07-01,NU-002,10
2026-07-01,NU-005,4
2026-07-01,NU-007,9
2026-07-01,NU-011,3
2026-07-01,NU-019,1
2026-07-01,TF-001,3
2026-07-01,TF-002,8
2026-07-01,TF-004,9
2026-07-01,TF-006,5
2026-07-01,TF-009,5
2026-07-01,TF-013,2
2026-07-01,TF-018,2
2026-07-02,FK-002,2
2026-07-02,FK-007,2
2026-07-02,FK-011,5
2026-07-02,FK-015,6
2026-07-02,FK-019,1
2026-07-02,NM-001,3
2026-07-02,NM-003,4
2026-07-02,NM-005,2
2026-07-02,NU-001,6
2026-07-02,NU-002,10
2026-07-02,NU-005,4
2026-07-02,NU-007,9
2026-07-02,NU-011,3
2026-07-02,NU-019,1
2026-07-02,TF-001,3
2026-07-02,TF-002,8
2026-07-02,TF-004,9
2026-07-02,TF-006,5
2026-07-02,TF-009,5
2026-07-02,TF-013,3
2026-07-02,TF-018,2
2026-07-03,FK-002,2
2026-07-03,FK-007,2
2026-07-03,FK-011,6
2026-07-03,FK-015,6
2026-07-03,FK-019,1
2026-07-03,NM-001,3
2026-07-03,NM-003,4
2026-07-03,NM-005,2
2026-07-03,NM-008,1
2026-07-03,NU-001,7
2026-07-03,NU-002,11
2026-07-03,NU-005,5
2026-07-03,NU-007,10
2026-07-03,NU-011,3
2026-07-03,NU-019,1
2026-07-03,TF-001,3
2026-07-03,TF-002,9
2026-07-03,TF-004,10
2026-07-03,TF-006,6
2026-07-03,TF-009,6
2026-07-03,TF-013,3
2026-07-03,TF-018,2
2026-07-04,FK-002,2
2026-07-04,FK-007,2
2026-07-04,FK-011,5
2026-07-04,FK-015,5
2026-07-04,FK-019,1
2026-07-04,NM-001,3
2026-07-04,NM-003,3
2026-07-04,NM-005,1
2026-07-04,NU-001,6
2026-07-04,NU-002,9
2026-07-04,NU-005,4
2026-07-04,NU-007,8
2026-07-04,NU-011,3
2026-07-04,NU-019,1
2026-07-04,TF-001,3
2026-07-04,TF-002,7
2026-07-04,TF-004,8
2026-07-04,TF-006,5
2026-07-04,TF-009,5
2026-07-04,TF-013,2
2026-07-04,TF-018,2
2026-07-05,FK-002,2
2026-07-05,FK-007,2
2026-07-05,FK-011,4
2026-07-05,FK-015,5
2026-07-05,FK-019,1
2026-07-05,NM-001,3
2026-07-05,NM-003,3
2026-07-05,NM-005,1
2026-07-05,NU-001,5
2026-07-05,NU-002,9
2026-07-05,NU-005,3
2026-07-05,NU-007,8
2026-07-05,NU-011,3
2026-07-05,NU-019,1
2026-07-05,TF-001,3
2026-07-05,TF-002,7
2026-07-05,TF-004,8
2026-07-05,TF-006,4
2026-07-05,TF-009,4
2026-07-05,TF-013,2
2026-07-05,TF-018,2
2026-07-06,FK-002,2
2026-07-06,FK-007,2
2026-07-06,FK-011,5
2026-07-06,FK-015,6
2026-07-06,FK-019,1
2026-07-06,NM-001,3
2026-07-06,NM-003,4
2026-07-06,NM-005,2
2026-07-06,NU-001,6
2026-07-06,NU-002,10
2026-07-06,NU-005,4
2026-07-06,NU-007,9
2026-07-06,NU-011,3
2026-07-06,NU-019,1
2026-07-06,TF-001,3
2026-07-06,TF-002,8
2026-07-06,TF-004,9
2026-07-06,TF-006,5
2026-07-06,TF-009,5
2026-07-06,TF-013,3
2026-07-06,TF-018,2
2026-07-07,FK-002,2
2026-07-07,FK-007,2
2026-07-07,FK-011,5
2026-07-07,FK-015,5
2026-07-07,FK-019,1
2026-07-07,NM-001,3
2026-07-07,NM-003,3
2026-07-07,NM-005,1
2026-07-07,NU-001,6
2026-07-07,NU-002,10
2026-07-07,NU-005,4
2026-07-07,NU-007,9
2026-07-07,NU-011,3
2026-07-07,NU-019,1
2026-07-07,TF-001,3
2026-07-07,TF-002,8
2026-07-07,TF-004,9
2026-07-07,TF-006,5
2026-07-07,TF-009,5
2026-07-07,TF-013,2
2026-07-07,TF-018,2
2026-07-08,FK-002,2
2026-07-08,FK-007,2
2026-07-08,FK-011,5
2026-07-08,FK-015,5
2026-07-08,FK-019,1
2026-07-08,NM-001,3
2026-07-08,NM-003,3
2026-07-08,NM-005,1
2026-07-08,NU-001,6
2026-07-08,NU-002,10
2026-07-08,NU-005,4
2026-07-08,NU-007,9
2026-07-08,NU-011,3
2026-07-08,NU-019,1
2026-07-08,TF-001,3
2026-07-08,TF-002,8
2026-07-08,TF-004,9
2026-07-08,TF-006,5
2026-07-08,TF-009,5
2026-07-08,TF-013,2
2026-07-08,TF-018,2
2026-07-09,FK-002,2
2026-07-09,FK-007,2
2026-07-09,FK-011,5
2026-07-09,FK-015,6
2026-07-09,FK-019,1
2026-07-09,NM-001,3
2026-07-09,NM-003,4
2026-07-09,NM-005,2
2026-07-09,NU-001,6
2026-07-09,NU-002,10
2026-07-09,NU-005,4
2026-07-09,NU-007,9
2026-07-09,NU-011,3
2026-07-09,NU-019,1
2026-07-09,TF-001,3
2026-07-09,TF-002,8
2026-07-09,TF-004,9
2026-07-09,TF-006,5
2026-07-09,TF-009,5
2026-07-09,TF-013,3
2026-07-09,TF-018,2
2026-07-10,FK-002,2
2026-07-10,FK-007,2
2026-07-10,FK-011,6
2026-07-10,FK-015,6
2026-07-10,FK-019,1
2026-07-10,NM-001,3
2026-07-10,NM-003,4
2026-07-10,NM-005,2
2026-07-10,NM-008,1
2026-07-10,NU-001,7
2026-07-10,NU-002,11
2026-07-10,NU-005,5
2026-07-10,NU-007,10
2026-07-10,NU-011,3
2026-07-10,NU-019,1
2026-07-10,TF-001,3
2026-07-10,TF-002,9
2026-07-10,TF-004,10
2026-07-10,TF-006,6
2026-07-10,TF-009,6
2026-07-10,TF-013,3
2026-07-10,TF-018,2
2026-07-11,FK-002,2
2026-07-11,FK-007,2
2026-07-11,FK-011,5
2026-07-11,FK-015,5
2026-07-11,FK-019,1
2026-07-11,NM-001,3
2026-07-11,NM-003,3
2026-07-11,NM-005,1
2026-07-11,NU-001,6
2026-07-11,NU-002,9
2026-07-11,NU-005,4
2026-07-11,NU-007,8
2026-07-11,NU-011,3
2026-07-11,NU-019,1
2026-07-11,TF-001,6
2026-07-11,TF-002,7
2026-07-11,TF-004,8
2026-07-11,TF-006,5
2026-07-11,TF-009,5
2026-07-11,TF-013,2
